Scaling factor	2.6659506944613276
Ani DiFranco	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 -0.5365150097196109 -0.3178507990244821 0.09952150565223299 0.08218387764239583 0.07003549994597295 0.42057271018912995
Dinosaur Jr.	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 -0.5365150097196109 -0.3178507990244821 0.09952150565223299 0.08218387764239583 -0.2025476910465694 -0.3751810345156265
Céline Dion	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 -0.5365150097196109 -0.3178507990244821 0.09952150565223299 -0.40310252097238763 -0.13569755591167537 -0.08737903900911284
Dion	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.8059667566992188 -0.08122172774871796 -0.09651305450448472 -0.11831384120354145 -0.15072534824142025 0.08345834874346245 -0.22105222851916712
Dire Straits	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.5970792945425877 0.24881422838450554 0.16102313836402754 0.11961121757918347 0.09532554767589498 -0.4032558610887065 0.15593803007871784
Dr. Feelgood	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.5970792945425877 0.24881422838450554 0.16102313836402754 0.11961121757918347 0.09532554767589498 0.3198718846075029 -0.29088474721935764
Dr. John	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.5970792945425877 0.24881422838450554 0.16102313836402754 -0.3962210577069482 -0.19733623131781905 0.03357236360387626 -0.11517787885972662
Thomas Dolby	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.5970792945425877 0.24881422838450554 -0.37937158812213656 -0.11881609228328535 -0.15147705749972812 0.08865450298882423 -0.21773660169470013
Donovan	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.5970792945425877 -0.31928943064890236 0.09566932920879609 0.0795517650896152 0.06812151633658338 -0.4027156881554674 0.117963649460863
The Doobie Brothers	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.5970792945425877 -0.31928943064890236 0.09566932920879609 0.0795517650896152 0.06812151633658338 0.3533159504719527 -0.22641375228275706
Nick Drake	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.5930917119460152 0.24821936589953683 0.16078088335675114 0.11947914769071624 0.09524224302812759 0.43231915962559875
Duran	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.5930917119460152 0.24821936589953683 0.16078088335675114 0.11947914769071624 -0.268092472379256 -0.35227456179802524
Ian Dury	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.5930917119460152 0.24821936589953683 0.16078088335675114 -0.39626024335431304 -0.1974538175715913 0.11931478044441178
Echo	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.5930917119460152 0.24821936589953683 -0.3794948321828056 -0.11940448537224735 -0.15235719681886217 0.23368830869198726
Eddie	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.5930917119460152 -0.319785553509065 0.09433125835867685 0.07862869531259574 0.06744579141396194 0.41930533074027454
Duane Eddy	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.5930917119460152 -0.319785553509065 0.09433125835867685 0.07862869531259574 -0.19553328290283573 -0.37700481488159576
Dave Edmunds	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.5930917119460152 -0.319785553509065 0.09433125835867685 -0.4032840968267245 -0.11474851205754226 -0.10364884524422283
Electric Light Orchestra	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.5896248157984217 0.24769707449271017 0.16056780020170203 -0.3962946554779898 0.23049238485178342
Emerson, Lake & Powell	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.5896248157984217 0.24769707449271017 0.16056780020170203 0.22668287964306383 -0.39848596651803125
Brian Eno	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.5896248157984217 0.24769707449271017 -0.37960301166020016 -0.20818480750251486 -0.22026995110623176
Erasure	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.5896248157984217 -0.32022029579574063 0.09315462868711553 0.07781321100791748 0.42430924349610094
Eurythmics	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.5896248157984217 -0.32022029579574063 0.09315462868711553 -0.2233124320442712 -0.36908642296631416
The Fabulous Thunderbirds	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.5896248157984217 -0.32022029579574063 -0.4020029699349443 -0.18007565571118636 -0.027154836642873305
Fairport Convention	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.5865825247081531 0.2472347957343195 -0.37969873745143257 0.30276122029647007
Faith No More	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.5865825247081531 0.2472347957343195 0.10812117671357649 -0.47343985772608027
Marianne Faithfull	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.5865825247081531 -0.320604415945445 0.09211179469377047 0.43091618409382476
The Fall	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.5865825247081531 -0.320604415945445 -0.26023574568665636 -0.3555990679158205
The Falling Leaves	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 0.5838910829392192 0.24682271713551368 0.48551619187286266
The Feelies	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 0.5838910829392192 -0.5377116478768504 -0.08668108214856443
Flamin’ Groovies	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 0.5838910829392192 0.38688866937427274 -0.3833596011249605
Foreigner	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 0.055456824400886444 0.05243484773049444 0.7948278746821021
The Four Seasons	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 0.055456824400886444 -0.7896523067386645 0.1046422385583073
Peter Frampton	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 0.055456824400886444 -0.1563957022650865 -0.78105130941648
Free	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 0.055456824400886444 0.7690621929452061 -0.20747073772100533
Fugazi	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 -0.5027854945385646 -0.2195141444510848 0.5801693803264161
The Bobby Fuller Four	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 -0.5027854945385646 -0.46494595022455687 -0.4106193283957944
Bobby Fuller	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 0.0588503802161294 -0.5027854945385646 0.5485832065138544 -0.2895504015079363
Peter Gabriel	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 -0.5003510202658239 0.35902926277911584 0.1989346893668715 0.4713930680505828
Galaxie 500	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 -0.5003510202658239 0.35902926277911584 -0.47650994453599166 -0.18634566804179045
Gang of Four	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 -0.5003510202658239 0.35902926277911584 0.4659436677771471 -0.2113833808463064
The J. Geils Band	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 -0.5003510202658239 -0.21259781316829737 -0.2654907796585854 0.5244094416805294
Jay Geils	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 -0.5003510202658239 -0.21259781316829737 -0.34795049713365067 -0.4737310082228664
Gerry	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 0.06268880092858321 -0.5003510202658239 -0.21259781316829737 0.5798156691772404 -0.0964593509409905
Gary Glitter	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 0.3662727364516945 0.20100691928724826 0.1399780301783328 0.4508169517321985
The Go‐Go’s	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 0.3662727364516945 0.20100691928724826 -0.3706999448195107 -0.2922521579262151
Grand Funk Railroad	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 0.3662727364516945 -0.3555626143537224 -0.018368342222571468 0.36942033753031056
The Grass Roots	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 0.3662727364516945 -0.3555626143537224 0.05492382762365726 -0.3657760994600124
Green Day	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 -0.2047592876542096 0.3194602524661063 -0.3647891897365144 0.34689609429321916
The Guess Who	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 -0.2047592876542096 0.3194602524661063 0.02529666433177018 -0.5027605115342676
Guided by Voices	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 -0.2047592876542096 -0.2538601104865147 0.2393619370940415 0.48344990791661524
Guns N’ Roses	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 -0.2047592876542096 -0.2538601104865147 -0.5295883583794634 -0.10273325198269861
Bill Haley	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 0.06706605843978226 -0.4975743201205067 -0.2047592876542096 -0.2538601104865147 0.4027641079776388 -0.35888580874558496
Hall	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 0.37445859727941105 0.20329557705733028 0.14106278824037716 -0.3992002305136318 0.21035569905617468
Happy Mondays	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 0.37445859727941105 0.20329557705733028 0.14106278824037716 0.2551044617182498 -0.37219894919114255
Tim Hardin	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 0.37445859727941105 0.20329557705733028 -0.3885877443059016 -0.06937970745507116 -0.26018277337748197
George Harrison	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 0.37445859727941105 -0.35400576893412744 -0.012648785906781998 -0.3724035918209661 -0.025954472062747345
PJ Harvey	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 0.3323877614383822 0.19091325734003112 0.13509364237099064 0.44892947118616977
Heart	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 0.3323877614383822 0.19091325734003112 -0.360410436064045 -0.29982041272181603
Don Henley	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 0.3323877614383822 -0.3621908785907288 -0.043784801956158304 0.3509080972563501
John Hiatt	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 0.3323877614383822 -0.3621908785907288 0.12866946975576626 -0.32938999552989157
Robyn Hitchcock	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 -0.24068848628278267 0.26258360319856017 -0.3765118960837565 0.3131695293292969
Hole	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 -0.24068848628278267 0.26258360319856017 0.08920419990259558 -0.4815381321480746
Hootie	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 -0.24068848628278267 -0.30752318669631495 0.1260303715394453 0.44534519841964226
Bruce Hornsby	0.3635190162221552 0.2610367603283276 -0.3808507806835097 0.07210468247935067 -0.49437834204956627 -0.19580584524084116 -0.24068848628278267 -0.30752318669631495 -0.3407115933588644 -0.3132596534133704
The Housemartins	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 0.38378475858058475 0.20583627708378396 0.14225736474250994 0.10904407241723107 0.08853291392046382 0.4292934167022525
The Human League	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 0.38378475858058475 0.20583627708378396 0.14225736474250994 0.10904407241723107 -0.25115176356989094 -0.35924045725234743
Humble Pie	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 0.38378475858058475 0.20583627708378396 0.14225736474250994 -0.399037691298972 -0.20158171540912032 0.06446128400814838
Janis Ian	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 0.38378475858058475 0.20583627708378396 -0.388091322808147 -0.16160122351423553 -0.2014494846482934 0.08334840657518057
Indigo Girls	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 0.38378475858058475 -0.35225471310759865 -0.006322703057562757 -0.006405858268057487 -0.0064912269523164515 0.3773867041374199
INXS	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 0.38378475858058475 -0.35225471310759865 -0.006322703057562757 -0.006405858268057487 0.019466001254969164 -0.3769402277313905
Iron Butterfly	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 -0.1854881600403845 0.34675350804955385 0.19531854444178084 0.13724571983355924 -0.3997043205695086 0.20621560985815396
Iron Maiden	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 -0.1854881600403845 0.34675350804955385 0.19531854444178084 0.13724571983355924 0.2606665810939569 -0.36652606337324833
Joe Jackson	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 -0.1854881600403845 0.34675350804955385 0.19531854444178084 -0.39012501260959 -0.03829996516098807 -0.2597313928826645
Wanda Jackson	0.3635190162221552 0.2610367603283276 -0.3808507806835097 -0.49066120851146494 -0.1854881600403845 0.34675350804955385 -0.3593463852494938 -0.03265915253422974 -0.3524641367073943 -0.06961846411384118
